Date,Year,Site,Treatment,Cluster,Structure,Large_Quadrat,Small_Quadrat,Quad_Size_m2,Mussel_Count,Mussel_Density_0.04m2,Barnacle_Count,Barnacle_Density_0.04,Notes
10/2/2024,2024,8,Reef Ball,1,1,1,1,0.04,17,153,56,504,
10/2/2024,2024,8,Reef Ball,1,1,1,2,0.04,23,207,96,864,
10/2/2024,2024,8,Reef Ball,1,1,1,3,0.04,26,234,74,666,
10/2/2024,2024,8,Reef Ball,1,1,2,1,0.04,24,216,137,1233,
10/2/2024,2024,8,Reef Ball,1,1,2,2,0.04,35,315,121,1089,
10/2/2024,2024,8,Reef Ball,1,1,2,3,0.04,23,207,56,504,
10/2/2024,2024,8,Reef Ball,1,1,3,1,0.04,24,216,137,1233,
10/2/2024,2024,8,Reef Ball,1,1,3,2,0.04,40,360,125,1125,
10/2/2024,2024,8,Reef Ball,1,1,3,3,0.04,27,243,79,711,
10/2/2024,2024,8,Reef Ball,1,1,4,1,0.04,31,279,64,576,
10/2/2024,2024,8,Reef Ball,1,1,4,2,0.04,35,315,94,846,
10/2/2024,2024,8,Reef Ball,1,1,4,3,0.04,23,207,17,153,1/3 of the 12 quadrats half mud
10/2/2024,2024,8,Reef Ball,1,2,1,1,0.04,25,225,100,900,
10/2/2024,2024,8,Reef Ball,1,2,1,2,0.04,32,288,58,522,lower section_some mud
10/2/2024,2024,8,Reef Ball,1,2,1,3,0.04,31,279,106,954,
10/2/2024,2024,8,Reef Ball,1,2,2,1,0.04,26,234,121,1089,
10/2/2024,2024,8,Reef Ball,1,2,2,2,0.04,31,279,95,855,
10/2/2024,2024,8,Reef Ball,1,2,2,3,0.04,42,378,121,1089,
10/2/2024,2024,8,Reef Ball,1,2,3,1,0.04,35,315,97,873,
10/2/2024,2024,8,Reef Ball,1,2,3,2,0.04,26,234,127,1143,
10/2/2024,2024,8,Reef Ball,1,2,3,3,0.04,23,207,123,1107,
10/2/2024,2024,8,Reef Ball,1,2,4,1,0.04,44,396,100,900,
10/2/2024,2024,8,Reef Ball,1,2,4,2,0.04,32,288,115,1035,
10/2/2024,2024,8,Reef Ball,1,2,4,3,0.04,14,126,56,504,half is a hole
10/2/2024,2024,8,Reef Ball,1,3,1,1,0.04,31,279,143,1287,
10/2/2024,2024,8,Reef Ball,1,3,1,2,0.04,32,288,94,846,
10/2/2024,2024,8,Reef Ball,1,3,1,3,0.04,7,63,59,531,half is a hole
10/2/2024,2024,8,Reef Ball,1,3,2,1,0.04,46,414,121,1089,
10/2/2024,2024,8,Reef Ball,1,3,2,2,0.04,26,234,87,783,
10/2/2024,2024,8,Reef Ball,1,3,2,3,0.04,21,189,79,711,1/3 is a hole
10/2/2024,2024,8,Reef Ball,1,3,3,1,0.04,23,207,157,1413,
10/2/2024,2024,8,Reef Ball,1,3,3,2,0.04,19,171,104,936,large oysters
10/2/2024,2024,8,Reef Ball,1,3,3,3,0.04,29,261,107,963,
10/2/2024,2024,8,Reef Ball,1,3,4,1,0.04,19,171,140,1260,
10/2/2024,2024,8,Reef Ball,1,3,4,2,0.04,34,306,113,1017,
10/2/2024,2024,8,Reef Ball,1,3,4,3,0.04,30,270,100,900,large oyster 
10/2/2024,2024,8,Reef Ball,1,4,1,1,0.04,28,252,174,1566,
10/2/2024,2024,8,Reef Ball,1,4,1,2,0.04,23,207,67,603,some mud_dead hydroids
10/2/2024,2024,8,Reef Ball,1,4,1,3,0.04,29,261,57,513,2% hydroids
10/2/2024,2024,8,Reef Ball,1,4,2,1,0.04,25,225,117,1053,
10/2/2024,2024,8,Reef Ball,1,4,2,2,0.04,33,297,63,567,5% hydroids
10/2/2024,2024,8,Reef Ball,1,4,2,3,0.04,15,135,68,612,1/3 is a hole
10/2/2024,2024,8,Reef Ball,1,4,3,1,0.04,15,135,48,432,1/2 hole 75% hydroids
10/2/2024,2024,8,Reef Ball,1,4,3,2,0.04,19,171,104,936,large oysters
10/2/2024,2024,8,Reef Ball,1,4,3,3,0.04,23,207,70,630,some oysters
10/2/2024,2024,8,Reef Ball,1,4,4,1,0.04,15,135,49,441,mostly large oysters
10/2/2024,2024,8,Reef Ball,1,4,4,2,0.04,18,162,67,603,
10/2/2024,2024,8,Reef Ball,1,4,4,3,0.04,26,234,61,549,
10/2/2024,2024,8,Gabion Cage,1,1,1,1,0.04,45,405,111,999,
10/2/2024,2024,8,Gabion Cage,1,1,1,2,0.04,35,315,220,1980,
10/2/2024,2024,8,Gabion Cage,1,1,1,3,0.04,34,306,208,1872,
10/2/2024,2024,8,Gabion Cage,1,1,2,1,0.04,6,54,46,414,mostly oysters
10/2/2024,2024,8,Gabion Cage,1,1,2,2,0.04,18,162,77,693,
10/2/2024,2024,8,Gabion Cage,1,1,2,3,0.04,18,162,38,342,
10/2/2024,2024,8,Gabion Cage,1,1,3,1,0.04,19,171,133,1197,
10/2/2024,2024,8,Gabion Cage,1,1,3,2,0.04,29,261,154,1386,
10/2/2024,2024,8,Gabion Cage,1,1,3,3,0.04,29,261,144,1296,
10/2/2024,2024,8,Gabion Cage,1,1,4,1,0.04,25,225,145,1305,
10/2/2024,2024,8,Gabion Cage,1,1,4,2,0.04,22,198,95,855,
10/2/2024,2024,8,Gabion Cage,1,1,4,3,0.04,35,315,128,1152,
10/2/2024,2024,8,Gabion Cage,1,1,5,1,0.04,25,225,51,459,25% hydroids
10/2/2024,2024,8,Gabion Cage,1,1,5,2,0.04,23,207,155,1395,
10/2/2024,2024,8,Gabion Cage,1,1,5,3,0.04,29,261,195,1755,
10/2/2024,2024,8,Gabion Cage,1,2,1,1,0.04,18,162,93,837,
10/2/2024,2024,8,Gabion Cage,1,2,1,2,0.04,32,288,65,585,
10/2/2024,2024,8,Gabion Cage,1,2,1,3,0.04,22,198,56,504,
10/2/2024,2024,8,Gabion Cage,1,2,2,1,0.04,29,261,84,756,
10/2/2024,2024,8,Gabion Cage,1,2,2,2,0.04,21,189,69,621,
10/2/2024,2024,8,Gabion Cage,1,2,2,3,0.04,28,252,31,279,
10/2/2024,2024,8,Gabion Cage,1,2,3,1,0.04,,,,,not good photo
10/2/2024,2024,8,Gabion Cage,1,2,3,2,0.04,,,,,
10/2/2024,2024,8,Gabion Cage,1,2,3,3,0.04,,,,,
10/2/2024,2024,8,Gabion Cage,1,2,4,1,0.04,31,279,97,873,
10/2/2024,2024,8,Gabion Cage,1,2,4,2,0.04,30,270,148,1332,
10/2/2024,2024,8,Gabion Cage,1,2,4,3,0.04,19,171,110,990,
10/2/2024,2024,8,Gabion Cage,1,2,5,1,0.04,,,,,not good photo
10/2/2024,2024,8,Gabion Cage,1,2,5,2,0.04,,,,,
10/2/2024,2024,8,Gabion Cage,1,2,5,3,0.04,,,,,
10/2/2024,2024,8,Gabion Cage,1,3,1,1,0.04,15,135,26,234,
10/2/2024,2024,8,Gabion Cage,1,3,1,2,0.04,26,234,23,207,
10/2/2024,2024,8,Gabion Cage,1,3,1,3,0.04,11,99,40,360,
10/2/2024,2024,8,Gabion Cage,1,3,2,1,0.04,9,81,19,171,
10/2/2024,2024,8,Gabion Cage,1,3,2,2,0.04,6,54,10,90,
10/2/2024,2024,8,Gabion Cage,1,3,2,3,0.04,10,90,8,72,1/2 mud
10/2/2024,2024,8,Gabion Cage,1,3,3,1,0.04,12,108,74,666,
10/2/2024,2024,8,Gabion Cage,1,3,3,2,0.04,18,162,72,648,
10/2/2024,2024,8,Gabion Cage,1,3,3,3,0.04,23,207,74,666,
10/2/2024,2024,8,Gabion Cage,1,3,4,1,0.04,15,135,76,684,
10/2/2024,2024,8,Gabion Cage,1,3,4,2,0.04,10,90,57,513,
10/2/2024,2024,8,Gabion Cage,1,3,4,3,0.04,14,126,20,180,2/3 mud
10/2/2024,2024,8,Gabion Cage,1,3,5,1,0.04,30,270,37,333,
10/2/2024,2024,8,Gabion Cage,1,3,5,2,0.04,12,108,51,459,
10/2/2024,2024,8,Gabion Cage,1,3,5,3,0.04,26,234,99,891,
10/2/2024,2024,8,Gabion Cage,1,4,,,0.04,,,,,no quadrats just photos
10/3/2024,2024,0,Gabion Cage,1,1,1,1,0.04,15,135,31,279,"The ""Glove"""
10/3/2024,2024,0,Gabion Cage,1,1,1,2,0.04,12,108,21,189,
10/3/2024,2024,0,Gabion Cage,1,1,1,3,0.04,10,90,33,297,
10/3/2024,2024,0,Gabion Cage,1,1,2,1,0.04,,,,,all mud
10/3/2024,2024,0,Gabion Cage,1,1,2,2,0.04,,,,,all mud
10/3/2024,2024,0,Gabion Cage,1,1,2,3,0.04,,,,,all mud
10/3/2024,2024,0,Gabion Cage,1,1,3,1,0.04,3,27,54,486,
10/3/2024,2024,0,Gabion Cage,1,1,3,2,0.04,2,18,13,117,
10/3/2024,2024,0,Gabion Cage,1,1,3,3,0.04,2,18,4,36,
10/3/2024,2024,0,Gabion Cage,1,2,,,0.04,,,,,no quadrats just photos
10/3/2024,2024,0,Gabion Cage,1,3,,,0.04,,,,,no quadrats just photos
10/3/2024,2024,0,Gabion Cage,1,4,,,0.04,,,,,no quadrats just photos
10/3/2024,2024,0,Reef Ball,1,1,1,1,0.04,34,306,74,666,
10/3/2024,2024,0,Reef Ball,1,1,1,2,0.04,21,189,39,351,
10/3/2024,2024,0,Reef Ball,1,1,1,3,0.04,15,135,18,162,
10/3/2024,2024,0,Reef Ball,1,1,2,1,0.04,14,126,36,324,
10/3/2024,2024,0,Reef Ball,1,1,2,2,0.04,21,189,59,531,
10/3/2024,2024,0,Reef Ball,1,1,2,3,0.04,22,198,55,495,
10/3/2024,2024,0,Reef Ball,1,1,3,1,0.04,22,198,38,342,
10/3/2024,2024,0,Reef Ball,1,1,3,2,0.04,13,117,64,576,
10/3/2024,2024,0,Reef Ball,1,1,3,3,0.04,1,9,0,0,98% mud
10/3/2024,2024,0,Reef Ball,1,1,4,1,0.04,3,27,4,36,
10/3/2024,2024,0,Reef Ball,1,1,4,2,0.04,,,,,all mud
10/3/2024,2024,0,Reef Ball,1,1,4,3,0.04,,,,,all mud
10/3/2024,2024,0,Reef Ball,1,2,1,1,0.04,17,153,39,351,10% hydroids
10/3/2024,2024,0,Reef Ball,1,2,1,2,0.04,22,198,47,423,
10/3/2024,2024,0,Reef Ball,1,2,1,3,0.04,15,135,15,135,2/3 mud
10/3/2024,2024,0,Reef Ball,1,2,2,1,0.04,19,171,24,216,
10/3/2024,2024,0,Reef Ball,1,2,2,2,0.04,1,9,6,54,
10/3/2024,2024,0,Reef Ball,1,2,2,3,0.04,22,198,27,243,1/2 hole  
10/3/2024,2024,0,Reef Ball,1,2,3,1,0.04,8,72,7,63,15% hydroids
10/3/2024,2024,0,Reef Ball,1,2,3,2,0.04,14,126,16,144,some mud
10/3/2024,2024,0,Reef Ball,1,2,3,3,0.04,4,36,0,0,2/3 mud
10/3/2024,2024,0,Reef Ball,1,2,4,1,0.04,,,,,all mud
10/3/2024,2024,0,Reef Ball,1,2,4,2,0.04,,,,,all mud
10/3/2024,2024,0,Reef Ball,1,2,4,3,0.04,,,,,all mud
10/3/2024,2024,0,Reef Ball,1,3,1,1,0.04,6,54,17,153,50% hydroids
10/3/2024,2024,0,Reef Ball,1,3,1,2,0.04,20,180,21,189,1/4 hole
10/3/2024,2024,0,Reef Ball,1,3,1,3,0.04,2,18,1,9,"bare reef ball, 1/3 hole"
10/3/2024,2024,0,Reef Ball,1,3,2,1,0.04,25,225,60,540,
10/3/2024,2024,0,Reef Ball,1,3,2,2,0.04,24,216,28,252,
10/3/2024,2024,0,Reef Ball,1,3,2,3,0.04,9,81,10,90,
10/3/2024,2024,0,Reef Ball,1,3,3,1,0.04,36,324,57,513,
10/3/2024,2024,0,Reef Ball,1,3,3,2,0.04,25,225,16,144,30% hydroids
10/3/2024,2024,0,Reef Ball,1,3,3,3,0.04,12,108,8,72,10% hydroids
10/3/2024,2024,0,Reef Ball,1,3,4,1,0.04,16,144,108,972,
10/3/2024,2024,0,Reef Ball,1,3,4,2,0.04,36,324,44,396,
10/3/2024,2024,0,Reef Ball,1,3,4,3,0.04,18,162,43,387,1/3 hole
10/3/2024,2024,0,Reef Ball,1,4,1,1,0.04,28,252,44,396,
10/3/2024,2024,0,Reef Ball,1,4,1,2,0.04,27,243,77,693,
10/3/2024,2024,0,Reef Ball,1,4,1,3,0.04,17,153,38,342,
10/3/2024,2024,0,Reef Ball,1,4,2,1,0.04,12,108,55,495,"1/2 hole, 5% hydroids"
10/3/2024,2024,0,Reef Ball,1,4,2,2,0.04,28,252,71,639,
10/3/2024,2024,0,Reef Ball,1,4,2,3,0.04,6,54,34,306,30% hydroids
10/3/2024,2024,0,Reef Ball,1,4,3,1,0.04,16,144,39,351,
10/3/2024,2024,0,Reef Ball,1,4,3,2,0.04,5,45,4,36,"bare reef ball, 1/3 hole"
10/3/2024,2024,0,Reef Ball,1,4,3,3,0.04,15,135,11,99,
10/3/2024,2024,0,Reef Ball,1,4,4,1,0.04,25,225,94,846,
10/3/2024,2024,0,Reef Ball,1,4,4,2,0.04,34,306,51,459,
10/3/2024,2024,0,Reef Ball,1,4,4,3,0.04,34,306,86,774,
10/3/2024,2024,1,Reef Ball,1,1,1,1,0.04,15,135,71,639,large oyster
10/3/2024,2024,1,Reef Ball,1,1,1,2,0.04,32,288,110,990,
10/3/2024,2024,1,Reef Ball,1,1,1,3,0.04,31,279,183,1647,
10/3/2024,2024,1,Reef Ball,1,1,2,1,0.04,34,306,100,900,
10/3/2024,2024,1,Reef Ball,1,1,2,2,0.04,24,216,39,351,1/4 mud
10/3/2024,2024,1,Reef Ball,1,1,2,3,0.04,3,27,3,27,98% hole and mud
10/3/2024,2024,1,Reef Ball,1,1,3,1,0.04,35,315,87,783,
10/3/2024,2024,1,Reef Ball,1,1,3,2,0.04,47,423,107,963,
10/3/2024,2024,1,Reef Ball,1,1,3,3,0.04,34,306,97,873,1/3 hole
10/3/2024,2024,1,Reef Ball,1,1,4,1,0.04,38,342,79,711,
10/3/2024,2024,1,Reef Ball,1,1,4,2,0.04,32,288,89,801,
10/3/2024,2024,1,Reef Ball,1,1,4,3,0.04,23,207,23,207,1/3 hole
10/3/2024,2024,1,Reef Ball,1,2,1,1,0.04,38,342,86,774,
10/3/2024,2024,1,Reef Ball,1,2,1,2,0.04,27,243,107,963,
10/3/2024,2024,1,Reef Ball,1,2,1,3,0.04,41,369,73,657,
10/3/2024,2024,1,Reef Ball,1,2,2,1,0.04,,,,,all mud
10/3/2024,2024,1,Reef Ball,1,2,2,2,0.04,,,,,all mud
10/3/2024,2024,1,Reef Ball,1,2,2,3,0.04,,,,,all mud
10/3/2024,2024,1,Reef Ball,1,2,3,1,0.04,29,261,76,684,
10/3/2024,2024,1,Reef Ball,1,2,3,2,0.04,39,351,112,1008,
10/3/2024,2024,1,Reef Ball,1,2,3,3,0.04,19,171,29,261,
10/3/2024,2024,1,Reef Ball,1,2,4,1,0.04,20,180,51,459,
10/3/2024,2024,1,Reef Ball,1,2,4,2,0.04,26,234,40,360,
10/3/2024,2024,1,Reef Ball,1,2,4,3,0.04,8,72,12,108,2/3 hole
10/3/2024,2024,1,Reef Ball,1,3,,,0.04,,,,,no quadrats just photos
10/3/2024,2024,1,Reef Ball,1,4,1,1,0.04,43,387,214,1926,
10/3/2024,2024,1,Reef Ball,1,4,1,2,0.04,44,396,165,1485,
10/3/2024,2024,1,Reef Ball,1,4,1,3,0.04,40,360,111,999,
10/3/2024,2024,1,Reef Ball,1,4,2,1,0.04,21,189,60,540,
10/3/2024,2024,1,Reef Ball,1,4,2,2,0.04,6,54,2,18,mostly bare reef ball
10/3/2024,2024,1,Reef Ball,1,4,2,3,0.04,0,0,3,27,mostly bare reef ball
10/3/2024,2024,1,Reef Ball,1,4,3,1,0.04,39,351,148,1332,
10/3/2024,2024,1,Reef Ball,1,4,3,2,0.04,33,297,132,1188,
10/3/2024,2024,1,Reef Ball,1,4,3,3,0.04,46,414,136,1224,
10/3/2024,2024,1,Reef Ball,1,4,4,1,0.04,34,306,157,1413,
10/3/2024,2024,1,Reef Ball,1,4,4,2,0.04,10,90,73,657,1/2 bare reef ball
10/3/2024,2024,1,Reef Ball,1,4,4,3,0.04,26,234,103,927,1/2 bare reef ball
10/3/2024,2024,1,Gabion Cage,1,1,,,0.04,,,,,no quadrats just photos
10/3/2024,2024,1,Gabion Cage,1,2,,,0.04,,,,,no quadrats just photos
10/3/2024,2024,1,Gabion Cage,1,3,,,0.04,,,,,no quadrats just photos
10/3/2024,2024,1,Gabion Cage,1,4,,,0.04,,,,,no quadrats just photos
